u,e,t,l,f,o
STILL,181.0,dark-theme,largeCards,large-font,Y
STILL,240.0,dark-theme,largeCards,large-font,N
STILL,240.0,dark-theme,xLargeCards,small-font,N
STILL,92.0,light-theme,largeCards,large-font,Y
ON_FOOT,0.0,dark-theme,xLargeCards,large-font,Y
ON_FOOT,0.0,dark-theme,xLargeCards,large-font,N
STILL,20.0,dark-theme,xLargeCards,large-font,N
STILL,19.0,dark-theme,xLargeCards,large-font,Y
STILL,0.0,dark-theme,largeCards,large-font,Y
STILL,0.0,dark-theme,largeCards,large-font,Y
STILL,0.0,dark-theme,largeCards,small-font,Y
STILL,0.0,dark-theme,largeCards,small-font,Y
STILL,0.0,dark-theme,largeCards,small-font,Y
STILL,0.0,dark-theme,largeCards,small-font,Y
STILL,75.0,dark-theme,largeCards,large-font,N
STILL,75.0,dark-theme,largeCards,large-font,N
STILL,2.0,light-theme,xLargeCards,large-font,Y
ON_FOOT,1.0,light-theme,xLargeCards,large-font,N
STILL,184.0,light-theme,xLargeCards,large-font,N
STILL,154.0,light-theme,xLargeCards,large-font,N
STILL,179.0,dark-theme,xLargeCards,small-font,N
STILL,0.0,dark-theme,largeCards,large-font,Y
STILL,0.0,dark-theme,largeCards,large-font,Y
STILL,0.0,dark-theme,largeCards,small-font,Y
STILL,0.0,dark-theme,largeCards,large-font,Y
ON_FOOT,623.0,light-theme,xLargeCards,small-font,N
ON_FOOT,378.0,dark-theme,largeCards,large-font,Y
IN_VEHICLE,258.0,dark-theme,xLargeCards,large-font,N
ON_FOOT,139.0,dark-theme,largeCards,small-font,N
ON_FOOT,305.0,dark-theme,xLargeCards,small-font,N
STILL,33.0,light-theme,xLargeCards,small-font,N
ON_FOOT,0.0,dark-theme,largeCards,large-font,N
ON_FOOT,6.0,dark-theme,xLargeCards,large-font,N
ON_FOOT,0.0,light-theme,largeCards,large-font,N
IN_VEHICLE,0.0,light-theme,xLargeCards,large-font,N
IN_VEHICLE,0.0,dark-theme,xLargeCards,large-font,N
STILL,0.0,light-theme,largeCards,large-font,Y
STILL,0.0,dark-theme,largeCards,large-font,Y
STILL,0.0,dark-theme,largeCards,large-font,Y
STILL,0.0,dark-theme,largeCards,large-font,Y
STILL,0.0,dark-theme,largeCards,large-font,Y
STILL,0.0,dark-theme,largeCards,small-font,Y
STILL,0.0,dark-theme,largeCards,small-font,Y
ON_FOOT,9365.0,light-theme,xLargeCards,small-font,Y
